Trial,S1_val,S1_std,S2_val,S2_std,Decision (S1>S2)
150,-9.8,2,0,8,0
151,-9.700000000000001,2,0,8,0
152,-9.700000000000001,2,0,8,0
153,-9.700000000000001,2,0,8,0
154,-9.700000000000001,2,0,8,0
155,-9.700000000000001,2,0,8,0
156,-9.700000000000001,2,0,8,1
157,-9.700000000000001,2,0,8,0
158,-9.700000000000001,2,0,8,0
159,-9.700000000000001,2,0,8,0
160,-9.700000000000001,2,0,8,0
161,-9.700000000000001,2,0,8,0
162,-9.700000000000001,2,0,8,0
163,-9.700000000000001,2,0,8,1
164,-9.700000000000001,2,0,8,0
165,-9.700000000000001,2,0,8,0
166,-9.700000000000001,2,0,8,0
167,-9.700000000000001,2,0,8,0
168,-9.700000000000001,2,0,8,0
169,-9.700000000000001,2,0,8,1
170,-9.700000000000001,2,0,8,0
171,-9.700000000000001,2,0,8,0
172,-9.700000000000001,2,0,8,0
173,-9.700000000000001,2,0,8,0
174,-9.700000000000001,2,0,8,0
175,-9.700000000000001,2,0,8,0
176,-9.700000000000001,2,0,8,0
177,-9.700000000000001,2,0,8,0
178,-9.700000000000001,2,0,8,0
179,-9.700000000000001,2,0,8,0
180,-9.700000000000001,2,0,8,1
181,-9.700000000000001,2,0,8,0
182,-9.700000000000001,2,0,8,0
183,-9.700000000000001,2,0,8,0
184,-9.700000000000001,2,0,8,0
185,-9.700000000000001,2,0,8,0
186,-9.700000000000001,2,0,8,0
187,-9.700000000000001,2,0,8,0
188,-9.700000000000001,2,0,8,0
189,-9.700000000000001,2,0,8,0
190,-9.700000000000001,2,0,8,0
191,-9.700000000000001,2,0,8,0
192,-9.700000000000001,2,0,8,0
193,-9.700000000000001,2,0,8,0
194,-9.700000000000001,2,0,8,0
195,-9.700000000000001,2,0,8,0
196,-9.700000000000001,2,0,8,0
197,-9.700000000000001,2,0,8,0
198,-9.700000000000001,2,0,8,0
199,-9.700000000000001,2,0,8,0
200,-9.700000000000001,2,0,8,0
201,-9.600000000000001,2,0,8,0
202,-9.600000000000001,2,0,8,0
203,-9.600000000000001,2,0,8,0
204,-9.600000000000001,2,0,8,0
205,-9.600000000000001,2,0,8,0
206,-9.600000000000001,2,0,8,0
207,-9.600000000000001,2,0,8,0
208,-9.600000000000001,2,0,8,0
209,-9.600000000000001,2,0,8,0
210,-9.600000000000001,2,0,8,0
211,-9.600000000000001,2,0,8,0
212,-9.600000000000001,2,0,8,1
213,-9.600000000000001,2,0,8,0
214,-9.600000000000001,2,0,8,0
215,-9.600000000000001,2,0,8,0
216,-9.600000000000001,2,0,8,0
217,-9.600000000000001,2,0,8,1
218,-9.600000000000001,2,0,8,0
219,-9.600000000000001,2,0,8,0
220,-9.600000000000001,2,0,8,0
221,-9.600000000000001,2,0,8,0
222,-9.600000000000001,2,0,8,0
223,-9.600000000000001,2,0,8,0
224,-9.600000000000001,2,0,8,0
225,-9.600000000000001,2,0,8,1
226,-9.600000000000001,2,0,8,0
227,-9.600000000000001,2,0,8,1
228,-9.600000000000001,2,0,8,0
229,-9.600000000000001,2,0,8,0
230,-9.600000000000001,2,0,8,0
231,-9.600000000000001,2,0,8,0
232,-9.600000000000001,2,0,8,0
233,-9.600000000000001,2,0,8,0
234,-9.600000000000001,2,0,8,0
235,-9.600000000000001,2,0,8,0
236,-9.600000000000001,2,0,8,0
237,-9.600000000000001,2,0,8,0
238,-9.600000000000001,2,0,8,0
239,-9.600000000000001,2,0,8,0
240,-9.600000000000001,2,0,8,0
241,-9.600000000000001,2,0,8,0
242,-9.600000000000001,2,0,8,0
243,-9.600000000000001,2,0,8,0
244,-9.600000000000001,2,0,8,0
245,-9.600000000000001,2,0,8,0
246,-9.600000000000001,2,0,8,0
247,-9.600000000000001,2,0,8,0
248,-9.600000000000001,2,0,8,0
249,-9.600000000000001,2,0,8,0
250,-9.600000000000001,2,0,8,0
251,-9.500000000000002,2,0,8,0
252,-9.500000000000002,2,0,8,0
253,-9.500000000000002,2,0,8,0
254,-9.500000000000002,2,0,8,0
255,-9.500000000000002,2,0,8,0
256,-9.500000000000002,2,0,8,0
257,-9.500000000000002,2,0,8,0
258,-9.500000000000002,2,0,8,0
259,-9.500000000000002,2,0,8,0
260,-9.500000000000002,2,0,8,1
261,-9.500000000000002,2,0,8,0
262,-9.500000000000002,2,0,8,0
263,-9.500000000000002,2,0,8,0
264,-9.500000000000002,2,0,8,0
265,-9.500000000000002,2,0,8,0
266,-9.500000000000002,2,0,8,0
267,-9.500000000000002,2,0,8,0
268,-9.500000000000002,2,0,8,0
269,-9.500000000000002,2,0,8,0
270,-9.500000000000002,2,0,8,0
271,-9.500000000000002,2,0,8,0
272,-9.500000000000002,2,0,8,1
273,-9.500000000000002,2,0,8,0
274,-9.500000000000002,2,0,8,0
275,-9.500000000000002,2,0,8,0
276,-9.500000000000002,2,0,8,0
277,-9.500000000000002,2,0,8,0
278,-9.500000000000002,2,0,8,0
279,-9.500000000000002,2,0,8,0
280,-9.500000000000002,2,0,8,0
281,-9.500000000000002,2,0,8,0
282,-9.500000000000002,2,0,8,1
283,-9.500000000000002,2,0,8,0
284,-9.500000000000002,2,0,8,0
285,-9.500000000000002,2,0,8,0
286,-9.500000000000002,2,0,8,0
287,-9.500000000000002,2,0,8,0
288,-9.500000000000002,2,0,8,0
289,-9.500000000000002,2,0,8,0
290,-9.500000000000002,2,0,8,0
291,-9.500000000000002,2,0,8,0
292,-9.500000000000002,2,0,8,0
293,-9.500000000000002,2,0,8,0
294,-9.500000000000002,2,0,8,0
295,-9.500000000000002,2,0,8,0
296,-9.500000000000002,2,0,8,0
297,-9.500000000000002,2,0,8,0
298,-9.500000000000002,2,0,8,0
299,-9.500000000000002,2,0,8,0
300,-9.500000000000002,2,0,8,0
301,-9.400000000000002,2,0,8,0
302,-9.400000000000002,2,0,8,0
303,-9.400000000000002,2,0,8,0
304,-9.400000000000002,2,0,8,0
305,-9.400000000000002,2,0,8,0
306,-9.400000000000002,2,0,8,0
307,-9.400000000000002,2,0,8,0
308,-9.400000000000002,2,0,8,0
309,-9.400000000000002,2,0,8,0
310,-9.400000000000002,2,0,8,1
311,-9.400000000000002,2,0,8,0
312,-9.400000000000002,2,0,8,0
313,-9.400000000000002,2,0,8,0
314,-9.400000000000002,2,0,8,0
315,-9.400000000000002,2,0,8,0
316,-9.400000000000002,2,0,8,0
317,-9.400000000000002,2,0,8,0
318,-9.400000000000002,2,0,8,0
319,-9.400000000000002,2,0,8,0
320,-9.400000000000002,2,0,8,0
321,-9.400000000000002,2,0,8,0
322,-9.400000000000002,2,0,8,0
323,-9.400000000000002,2,0,8,0
324,-9.400000000000002,2,0,8,1
325,-9.400000000000002,2,0,8,0
326,-9.400000000000002,2,0,8,0
327,-9.400000000000002,2,0,8,0
328,-9.400000000000002,2,0,8,0
329,-9.400000000000002,2,0,8,0
330,-9.400000000000002,2,0,8,0
331,-9.400000000000002,2,0,8,0
332,-9.400000000000002,2,0,8,1
333,-9.400000000000002,2,0,8,0
334,-9.400000000000002,2,0,8,0
335,-9.400000000000002,2,0,8,0
336,-9.400000000000002,2,0,8,0
337,-9.400000000000002,2,0,8,1
338,-9.400000000000002,2,0,8,0
339,-9.400000000000002,2,0,8,0
340,-9.400000000000002,2,0,8,0
341,-9.400000000000002,2,0,8,1
342,-9.400000000000002,2,0,8,0
343,-9.400000000000002,2,0,8,0
344,-9.400000000000002,2,0,8,0
345,-9.400000000000002,2,0,8,0
346,-9.400000000000002,2,0,8,1
347,-9.400000000000002,2,0,8,0
348,-9.400000000000002,2,0,8,1
349,-9.400000000000002,2,0,8,0
350,-9.400000000000002,2,0,8,0
351,-9.300000000000002,2,0,8,0
352,-9.300000000000002,2,0,8,0
353,-9.300000000000002,2,0,8,0
354,-9.300000000000002,2,0,8,0
355,-9.300000000000002,2,0,8,0
356,-9.300000000000002,2,0,8,1
357,-9.300000000000002,2,0,8,0
358,-9.300000000000002,2,0,8,1
359,-9.300000000000002,2,0,8,0
360,-9.300000000000002,2,0,8,0
361,-9.300000000000002,2,0,8,0
362,-9.300000000000002,2,0,8,0
363,-9.300000000000002,2,0,8,0
364,-9.300000000000002,2,0,8,0
365,-9.300000000000002,2,0,8,0
366,-9.300000000000002,2,0,8,0
367,-9.300000000000002,2,0,8,0
368,-9.300000000000002,2,0,8,0
369,-9.300000000000002,2,0,8,0
370,-9.300000000000002,2,0,8,0
371,-9.300000000000002,2,0,8,0
372,-9.300000000000002,2,0,8,1
373,-9.300000000000002,2,0,8,1
374,-9.300000000000002,2,0,8,0
375,-9.300000000000002,2,0,8,0
376,-9.300000000000002,2,0,8,0
377,-9.300000000000002,2,0,8,0
378,-9.300000000000002,2,0,8,0
379,-9.300000000000002,2,0,8,0
380,-9.300000000000002,2,0,8,0
381,-9.300000000000002,2,0,8,0
382,-9.300000000000002,2,0,8,0
383,-9.300000000000002,2,0,8,0
384,-9.300000000000002,2,0,8,0
385,-9.300000000000002,2,0,8,0
386,-9.300000000000002,2,0,8,0
387,-9.300000000000002,2,0,8,0
388,-9.300000000000002,2,0,8,0
389,-9.300000000000002,2,0,8,0
390,-9.300000000000002,2,0,8,0
391,-9.300000000000002,2,0,8,0
392,-9.300000000000002,2,0,8,0
393,-9.300000000000002,2,0,8,0
394,-9.300000000000002,2,0,8,0
395,-9.300000000000002,2,0,8,0
396,-9.300000000000002,2,0,8,0
397,-9.300000000000002,2,0,8,1
398,-9.300000000000002,2,0,8,0
399,-9.300000000000002,2,0,8,0
400,-9.300000000000002,2,0,8,0
401,-9.200000000000003,2,0,8,0
402,-9.200000000000003,2,0,8,0
403,-9.200000000000003,2,0,8,0
404,-9.200000000000003,2,0,8,0
405,-9.200000000000003,2,0,8,0
406,-9.200000000000003,2,0,8,0
407,-9.200000000000003,2,0,8,0
408,-9.200000000000003,2,0,8,0
409,-9.200000000000003,2,0,8,0
410,-9.200000000000003,2,0,8,0
411,-9.200000000000003,2,0,8,0
412,-9.200000000000003,2,0,8,0
413,-9.200000000000003,2,0,8,0
414,-9.200000000000003,2,0,8,0
415,-9.200000000000003,2,0,8,0
416,-9.200000000000003,2,0,8,0
417,-9.200000000000003,2,0,8,0
418,-9.200000000000003,2,0,8,0
419,-9.200000000000003,2,0,8,0
420,-9.200000000000003,2,0,8,0
421,-9.200000000000003,2,0,8,0
422,-9.200000000000003,2,0,8,0
423,-9.200000000000003,2,0,8,0
424,-9.200000000000003,2,0,8,0
425,-9.200000000000003,2,0,8,0
426,-9.200000000000003,2,0,8,0
427,-9.200000000000003,2,0,8,0
428,-9.200000000000003,2,0,8,0
429,-9.200000000000003,2,0,8,0
430,-9.200000000000003,2,0,8,1
431,-9.200000000000003,2,0,8,0
432,-9.200000000000003,2,0,8,0
433,-9.200000000000003,2,0,8,0
434,-9.200000000000003,2,0,8,1
435,-9.200000000000003,2,0,8,0
436,-9.200000000000003,2,0,8,0
437,-9.200000000000003,2,0,8,0
438,-9.200000000000003,2,0,8,0
439,-9.200000000000003,2,0,8,0
440,-9.200000000000003,2,0,8,1
441,-9.200000000000003,2,0,8,0
442,-9.200000000000003,2,0,8,0
443,-9.200000000000003,2,0,8,0
444,-9.200000000000003,2,0,8,0
445,-9.200000000000003,2,0,8,0
446,-9.200000000000003,2,0,8,0
447,-9.200000000000003,2,0,8,0
448,-9.200000000000003,2,0,8,0
449,-9.200000000000003,2,0,8,1
450,-9.200000000000003,2,0,8,0
451,-9.100000000000003,2,0,8,0
452,-9.100000000000003,2,0,8,1
453,-9.100000000000003,2,0,8,0
454,-9.100000000000003,2,0,8,0
455,-9.100000000000003,2,0,8,0
456,-9.100000000000003,2,0,8,0
457,-9.100000000000003,2,0,8,0
458,-9.100000000000003,2,0,8,0
459,-9.100000000000003,2,0,8,0
460,-9.100000000000003,2,0,8,0
461,-9.100000000000003,2,0,8,0
462,-9.100000000000003,2,0,8,0
463,-9.100000000000003,2,0,8,0
464,-9.100000000000003,2,0,8,0
465,-9.100000000000003,2,0,8,0
466,-9.100000000000003,2,0,8,0
467,-9.100000000000003,2,0,8,1
468,-9.100000000000003,2,0,8,0
469,-9.100000000000003,2,0,8,0
470,-9.100000000000003,2,0,8,0
471,-9.100000000000003,2,0,8,0
472,-9.100000000000003,2,0,8,0
473,-9.100000000000003,2,0,8,0
474,-9.100000000000003,2,0,8,0
475,-9.100000000000003,2,0,8,0
476,-9.100000000000003,2,0,8,0
477,-9.100000000000003,2,0,8,0
478,-9.100000000000003,2,0,8,1
479,-9.100000000000003,2,0,8,0
480,-9.100000000000003,2,0,8,0
481,-9.100000000000003,2,0,8,0
482,-9.100000000000003,2,0,8,0
483,-9.100000000000003,2,0,8,0
484,-9.100000000000003,2,0,8,0
485,-9.100000000000003,2,0,8,0
486,-9.100000000000003,2,0,8,0
487,-9.100000000000003,2,0,8,1
488,-9.100000000000003,2,0,8,0
489,-9.100000000000003,2,0,8,0
490,-9.100000000000003,2,0,8,0
491,-9.100000000000003,2,0,8,0
492,-9.100000000000003,2,0,8,0
493,-9.100000000000003,2,0,8,0
494,-9.100000000000003,2,0,8,0
495,-9.100000000000003,2,0,8,0
496,-9.100000000000003,2,0,8,0
497,-9.100000000000003,2,0,8,0
498,-9.100000000000003,2,0,8,0
499,-9.100000000000003,2,0,8,0
500,-9.100000000000003,2,0,8,0
501,-9.000000000000004,2,0,8,0
502,-9.000000000000004,2,0,8,0
503,-9.000000000000004,2,0,8,0
504,-9.000000000000004,2,0,8,0
505,-9.000000000000004,2,0,8,0
506,-9.000000000000004,2,0,8,0
507,-9.000000000000004,2,0,8,0
508,-9.000000000000004,2,0,8,0
509,-9.000000000000004,2,0,8,0
510,-9.000000000000004,2,0,8,0
511,-9.000000000000004,2,0,8,0
512,-9.000000000000004,2,0,8,0
513,-9.000000000000004,2,0,8,0
514,-9.000000000000004,2,0,8,0
515,-9.000000000000004,2,0,8,0
516,-9.000000000000004,2,0,8,0
517,-9.000000000000004,2,0,8,0
518,-9.000000000000004,2,0,8,0
519,-9.000000000000004,2,0,8,0
520,-9.000000000000004,2,0,8,0
521,-9.000000000000004,2,0,8,0
522,-9.000000000000004,2,0,8,0
523,-9.000000000000004,2,0,8,0
524,-9.000000000000004,2,0,8,0
525,-9.000000000000004,2,0,8,0
526,-9.000000000000004,2,0,8,0
527,-9.000000000000004,2,0,8,0
528,-9.000000000000004,2,0,8,0
529,-9.000000000000004,2,0,8,0
530,-9.000000000000004,2,0,8,0
531,-9.000000000000004,2,0,8,0
532,-9.000000000000004,2,0,8,1
533,-9.000000000000004,2,0,8,0
534,-9.000000000000004,2,0,8,0
535,-9.000000000000004,2,0,8,0
536,-9.000000000000004,2,0,8,0
537,-9.000000000000004,2,0,8,1
538,-9.000000000000004,2,0,8,0
539,-9.000000000000004,2,0,8,0
540,-9.000000000000004,2,0,8,0
541,-9.000000000000004,2,0,8,0
542,-9.000000000000004,2,0,8,0
543,-9.000000000000004,2,0,8,0
544,-9.000000000000004,2,0,8,0
545,-9.000000000000004,2,0,8,0
546,-9.000000000000004,2,0,8,0
547,-9.000000000000004,2,0,8,0
548,-9.000000000000004,2,0,8,0
549,-9.000000000000004,2,0,8,1
550,-9.000000000000004,2,0,8,0
551,-8.900000000000004,2,0,8,0
552,-8.900000000000004,2,0,8,0
553,-8.900000000000004,2,0,8,0
554,-8.900000000000004,2,0,8,0
555,-8.900000000000004,2,0,8,0
556,-8.900000000000004,2,0,8,0
557,-8.900000000000004,2,0,8,0
558,-8.900000000000004,2,0,8,0
559,-8.900000000000004,2,0,8,0
560,-8.900000000000004,2,0,8,1
561,-8.900000000000004,2,0,8,0
562,-8.900000000000004,2,0,8,0
563,-8.900000000000004,2,0,8,0
564,-8.900000000000004,2,0,8,0
565,-8.900000000000004,2,0,8,1
566,-8.900000000000004,2,0,8,0
567,-8.900000000000004,2,0,8,0
568,-8.900000000000004,2,0,8,0
569,-8.900000000000004,2,0,8,0
570,-8.900000000000004,2,0,8,0
571,-8.900000000000004,2,0,8,0
572,-8.900000000000004,2,0,8,0
573,-8.900000000000004,2,0,8,0
574,-8.900000000000004,2,0,8,0
575,-8.900000000000004,2,0,8,0
576,-8.900000000000004,2,0,8,0
577,-8.900000000000004,2,0,8,0
578,-8.900000000000004,2,0,8,1
579,-8.900000000000004,2,0,8,0
580,-8.900000000000004,2,0,8,0
581,-8.900000000000004,2,0,8,0
582,-8.900000000000004,2,0,8,0
583,-8.900000000000004,2,0,8,0
584,-8.900000000000004,2,0,8,0
585,-8.900000000000004,2,0,8,0
586,-8.900000000000004,2,0,8,0
587,-8.900000000000004,2,0,8,0
588,-8.900000000000004,2,0,8,0
589,-8.900000000000004,2,0,8,0
590,-8.900000000000004,2,0,8,0
591,-8.900000000000004,2,0,8,0
592,-8.900000000000004,2,0,8,0
593,-8.900000000000004,2,0,8,0
594,-8.900000000000004,2,0,8,0
595,-8.900000000000004,2,0,8,0
596,-8.900000000000004,2,0,8,0
597,-8.900000000000004,2,0,8,0
598,-8.900000000000004,2,0,8,0
599,-8.900000000000004,2,0,8,0
600,-8.900000000000004,2,0,8,0
601,-8.800000000000004,2,0,8,0
602,-8.800000000000004,2,0,8,0
603,-8.800000000000004,2,0,8,0
604,-8.800000000000004,2,0,8,0
