S1_std,S2_std,S2_val,S1_val,P_choose1,N_trials
0,0,0,-10.0,0.0,50
0,0,0,-9.9,0.0,50
0,0,0,-9.8,0.0,50
0,0,0,-9.7,0.0,50
0,0,0,-9.6,0.0,50
0,0,0,-9.500000000000002,0.0,50
0,0,0,-9.400000000000002,0.0,50
0,0,0,-9.300000000000002,0.0,50
0,0,0,-9.200000000000005,0.0,50
0,0,0,-9.100000000000003,0.0,50
0,0,0,-9.000000000000004,0.0,50
0,0,0,-8.900000000000004,0.0,50
0,0,0,-8.800000000000004,0.0,50
0,0,0,-8.700000000000005,0.0,50
0,0,0,-8.600000000000005,0.0,50
0,0,0,-8.500000000000005,0.0,50
0,0,0,-8.400000000000006,0.0,50
0,0,0,-8.300000000000006,0.0,50
0,0,0,-8.200000000000006,0.0,50
0,0,0,-8.100000000000007,0.0,50
0,0,0,-8.000000000000007,0.0,50
0,0,0,-7.900000000000007,0.0,50
0,0,0,-7.800000000000008,0.0,50
0,0,0,-7.700000000000008,0.0,50
0,0,0,-7.600000000000008,0.0,50
0,0,0,-7.500000000000009,0.0,50
0,0,0,-7.400000000000009,0.0,50
0,0,0,-7.30000000000001,0.0,50
0,0,0,-7.20000000000001,0.0,50
0,0,0,-7.10000000000001,0.0,50
0,0,0,-7.000000000000011,0.0,50
0,0,0,-6.900000000000011,0.0,50
0,0,0,-6.800000000000011,0.0,50
0,0,0,-6.700000000000012,0.0,50
0,0,0,-6.600000000000012,0.0,50
0,0,0,-6.500000000000012,0.0,50
0,0,0,-6.400000000000013,0.0,50
0,0,0,-6.300000000000013,0.0,50
0,0,0,-6.2000000000000135,0.0,50
0,0,0,-6.100000000000014,0.0,50
0,0,0,-6.000000000000014,0.0,50
0,0,0,-5.900000000000015,0.0,50
0,0,0,-5.800000000000015,0.0,50
0,0,0,-5.700000000000015,0.0,50
0,0,0,-5.600000000000016,0.0,50
0,0,0,-5.500000000000016,0.0,50
0,0,0,-5.400000000000016,0.0,50
0,0,0,-5.300000000000017,0.0,50
0,0,0,-5.200000000000017,0.0,50
0,0,0,-5.100000000000017,0.0,50
0,0,0,-5.000000000000018,0.0,50
0,0,0,-4.900000000000018,0.0,50
0,0,0,-4.8000000000000185,0.0,50
0,0,0,-4.700000000000019,0.0,50
0,0,0,-4.600000000000019,0.0,50
0,0,0,-4.50000000000002,0.0,50
0,0,0,-4.40000000000002,0.0,50
0,0,0,-4.30000000000002,0.0,50
0,0,0,-4.200000000000021,0.0,50
0,0,0,-4.100000000000021,0.0,50
0,0,0,-4.000000000000021,0.0,50
0,0,0,-3.9000000000000217,0.0,50
0,0,0,-3.800000000000022,0.0,50
0,0,0,-3.7000000000000224,0.0,50
0,0,0,-3.6000000000000227,0.0,50
0,0,0,-3.500000000000023,0.0,50
0,0,0,-3.4000000000000234,0.0,50
0,0,0,-3.300000000000024,0.0,50
0,0,0,-3.200000000000024,0.0,50
0,0,0,-3.1000000000000245,0.0,50
0,0,0,-3.000000000000025,0.0,50
0,0,0,-2.900000000000025,0.0,50
0,0,0,-2.8000000000000256,0.0,50
0,0,0,-2.700000000000026,0.0,50
0,0,0,-2.6000000000000263,0.0,50
0,0,0,-2.500000000000026,0.0,50
0,0,0,-2.400000000000027,0.0,50
0,0,0,-2.300000000000028,0.0,50
0,0,0,-2.200000000000028,0.0,50
0,0,0,-2.100000000000028,0.0,50
0,0,0,-2.0000000000000284,0.0,50
0,0,0,-1.9000000000000288,0.0,50
0,0,0,-1.8000000000000291,0.0,50
0,0,0,-1.7000000000000297,0.0,50
0,0,0,-1.6000000000000298,0.0,50
0,0,0,-1.5000000000000302,0.0,50
0,0,0,-1.4000000000000306,0.0,50
0,0,0,-1.300000000000031,0.0,50
0,0,0,-1.2000000000000313,0.0,50
0,0,0,-1.1000000000000316,0.02,50
0,0,0,-1.000000000000032,0.04,50
0,0,0,-0.9000000000000323,0.02,50
0,0,0,-0.8000000000000327,0.04,50
0,0,0,-0.700000000000033,0.14,50
0,0,0,-0.6000000000000334,0.06,50
0,0,0,-0.5000000000000338,0.16,50
0,0,0,-0.4000000000000341,0.22,50
0,0,0,-0.3000000000000344,0.24,50
0,0,0,-0.2000000000000348,0.3,50
0,0,0,-0.1000000000000351,0.4,50
0,0,0,-3.5527136788005016e-14,0.46,50
0,0,0,0.0999999999999641,0.48,50
0,0,0,0.1999999999999637,0.62,50
0,0,0,0.2999999999999634,0.82,50
0,0,0,0.399999999999963,0.78,50
0,0,0,0.4999999999999627,0.88,50
0,0,0,0.5999999999999623,0.86,50
0,0,0,0.699999999999962,0.9,50
0,0,0,0.7999999999999616,0.96,50
0,0,0,0.8999999999999613,0.96,50
0,0,0,0.9999999999999608,0.98,50
0,0,0,1.0999999999999606,0.98,50
0,0,0,1.1999999999999602,1.0,50
0,0,0,1.29999999999996,1.0,50
0,0,0,1.3999999999999595,1.0,50
0,0,0,1.4999999999999591,1.0,50
0,0,0,1.5999999999999588,1.0,50
0,0,0,1.6999999999999584,1.0,50
0,0,0,1.799999999999958,1.0,50
0,0,0,1.8999999999999575,1.0,50
0,0,0,1.9999999999999571,1.0,50
0,0,0,2.099999999999957,1.0,50
0,0,0,2.1999999999999567,1.0,50
0,0,0,2.2999999999999563,1.0,50
0,0,0,2.399999999999956,1.0,50
0,0,0,2.499999999999956,1.0,50
0,0,0,2.5999999999999552,1.0,50
0,0,0,2.699999999999955,1.0,50
0,0,0,2.7999999999999545,1.0,50
0,0,0,2.899999999999954,1.0,50
0,0,0,2.999999999999954,1.0,50
0,0,0,3.099999999999953,1.0,50
0,0,0,3.199999999999953,1.0,50
0,0,0,3.2999999999999527,1.0,50
0,0,0,3.3999999999999524,1.0,50
0,0,0,3.499999999999952,1.0,50
0,0,0,3.599999999999952,1.0,50
0,0,0,3.6999999999999513,1.0,50
0,0,0,3.799999999999951,1.0,50
0,0,0,3.899999999999951,1.0,50
0,0,0,3.9999999999999503,1.0,50
0,0,0,4.09999999999995,1.0,50
0,0,0,4.1999999999999496,1.0,50
0,0,0,4.299999999999949,1.0,50
0,0,0,4.399999999999949,1.0,50
0,0,0,4.4999999999999485,1.0,50
0,0,0,4.599999999999948,1.0,50
0,0,0,4.699999999999948,1.0,50
0,0,0,4.799999999999947,1.0,50
0,0,0,4.899999999999947,1.0,50
0,0,0,4.999999999999947,1.0,50
0,0,0,5.099999999999946,1.0,50
0,0,0,5.199999999999946,1.0,50
0,0,0,5.299999999999946,1.0,50
0,0,0,5.399999999999945,1.0,50
0,0,0,5.499999999999945,1.0,50
0,0,0,5.599999999999945,1.0,50
0,0,0,5.699999999999944,1.0,50
0,0,0,5.799999999999944,1.0,50
0,0,0,5.899999999999944,1.0,50
0,0,0,5.999999999999943,1.0,50
0,0,0,6.099999999999945,1.0,50
0,0,0,6.1999999999999424,1.0,50
